Date,Precipitation,Temperature ,Relative Humidity,Wind Speed 
5/2/1985,0,26,82.12,16.07
5/3/1985,1.4,26.36,80,15.19
5/4/1985,0,26.79,80.25,13.89
5/5/1985,0,26.08,81.38,16.18
5/6/1985,0,27.9,73.12,14.03
5/7/1985,0,27.56,74.58,8.61
5/8/1985,4.6,26.01,83.42,5.56
5/9/1985,16.4,23.92,93.96,7.52
5/10/1985,3.4,23.79,93.71,5.34
5/11/1985,0.1,26.78,77.42,8.68
5/12/1985,0.1,27.57,73.83,3.85
5/13/1985,0,27.4,75.29,9.07
5/14/1985,3.8,25.59,86.25,3.98
5/15/1985,0,27.12,75.29,4.55
5/16/1985,0,27.39,70.08,15.04
5/17/1985,0,28.3,68.62,20.14
5/18/1985,0.2,28.41,67.67,18.8
5/19/1985,0.4,28.24,70,15.94
5/20/1985,0,27.1,75.46,13.36
5/21/1985,0,27.57,75,14.28
5/22/1985,0,27.32,74.62,16.79
5/23/1985,0,27.75,71.5,16.53
5/24/1985,0,28,72.21,12.39
5/25/1985,0,27.95,72.96,10.79
5/26/1985,0,27.61,75.62,5.88
5/27/1985,0,28.06,73.92,9.15
5/28/1985,0,27.73,77.54,15.9
5/29/1985,0,27.39,77.58,14.47
5/30/1985,0.2,28.08,72.62,14.95
5/31/1985,0,28.22,69.25,15.97
6/1/1985,0.1,29.17,65.54,15.05
6/2/1985,17.1,26.74,85.71,11.86
6/3/1985,12.7,26.71,86.83,8.65
6/4/1985,7.5,26.54,85.42,15.4
6/5/1985,0.6,26.87,78.04,10.79
6/6/1985,2,27.88,76.12,14.99
6/7/1985,7.8,26.85,81.46,17.21
6/8/1985,0.9,29.11,67.33,17.45
6/9/1985,2.5,28.09,75.54,12.26
6/10/1985,1,27.98,71.5,21.96
6/11/1985,1.2,27.96,72.83,20.52
6/12/1985,0.2,27.62,75.33,16.63
6/13/1985,5.8,25.76,87.17,20.32
6/14/1985,0.4,26.79,79.08,21.04
6/15/1985,0,27.84,71.58,22.23
6/16/1985,0,29.25,60.88,22.69
6/17/1985,0,27.81,65.08,26.88
6/18/1985,3.2,25.34,83.29,28.18
6/19/1985,3.2,25.77,76.67,32.31
6/20/1985,0,27.52,68.62,26.98
6/21/1985,0,28.94,62.67,22.34
6/22/1985,2.5,27.31,72.46,20.58
6/23/1985,0,28.18,65.33,20.43
6/24/1985,0.1,28.05,63,24.11
6/25/1985,0,28.4,63.42,25.02
6/26/1985,0.7,28.15,63.42,24.09
6/27/1985,0,27.63,65.83,30.46
6/28/1985,0,27.94,63.21,31.57
6/29/1985,0,27.79,64.38,30.53
6/30/1985,0,29.05,57.17,24.9
7/1/1985,0.3,28.58,62.33,24.7
7/2/1985,0.1,27.86,66.42,25.76
7/3/1985,1.5,27.22,73.08,20.53
7/4/1985,0,27.8,67.96,15.69
7/5/1985,4.4,26.67,78.21,11.98
7/6/1985,4.4,25.8,83.88,12.78
7/7/1985,9.9,25.21,87.58,16.58
7/8/1985,4.2,26.57,81.04,14.99
7/9/1985,7.7,25.91,82.96,13.88
7/10/1985,4.1,26.11,83.38,3.75
7/11/1985,19.5,23.82,94.04,8.04
7/12/1985,2.3,24.39,87.21,9.3
7/13/1985,0,27.43,71.75,14.24
7/14/1985,2.2,25.7,83.04,8.76
7/15/1985,2.3,27.62,74.5,3.89
7/16/1985,0.2,27.13,72.08,6.33
7/17/1985,4.7,25.57,85.58,7.15
7/18/1985,3.1,25.09,86.08,15.46
7/19/1985,0.8,26.04,77.83,15.2
7/20/1985,0,27.4,70.04,10.74
7/21/1985,0,27.34,71.12,5.83
7/22/1985,0,27.35,70.83,7.63
7/23/1985,0,27.33,71.12,5.82
7/24/1985,0,27.28,72.33,9.6
7/25/1985,0,27.76,66.38,17.22
7/26/1985,0.3,28.36,64.38,19.04
7/27/1985,0.9,27.97,66.08,15.18
7/28/1985,1.3,27.4,71.75,14.39
7/29/1985,5,28.2,72.75,13.8
7/30/1985,0,27.12,72.96,11.81
7/31/1985,0,27.38,70.08,13.33
8/1/1985,5,27.71,74.75,12.42
8/2/1985,0.1,25.93,83.88,14.95
8/3/1985,0.1,27.72,70.17,14.55
8/4/1985,1.2,27.78,69.54,19.96
8/5/1985,0.6,28.88,63.75,18.5
8/6/1985,0.4,29.83,56.96,14.01
8/7/1985,1.2,28.02,66.75,22.3
8/8/1985,4.4,26.58,77.12,25.15
8/9/1985,18.2,24.44,91.71,23.35
8/10/1985,0,26.84,75.38,25.41
8/11/1985,0,28.21,69.33,25.06
8/12/1985,0,26.88,76.21,26.61
8/13/1985,1.2,25.32,87.42,24.6
8/14/1985,0.1,26.94,77.29,22.83
8/15/1985,0,28.13,72.58,22.24
8/16/1985,0,28.28,71.54,18.87
8/17/1985,0,27.28,77.75,17.66
8/18/1985,0,27.1,74.71,21.75
8/19/1985,0,28.57,67.96,22.45
8/20/1985,0,28.49,66.96,24.25
8/21/1985,0,28.7,66.04,22.69
8/22/1985,0,28.07,68.21,23.57
8/23/1985,0,28.68,69.83,25.71
8/24/1985,0.1,28.5,69.79,24.86
8/25/1985,0,28.75,68.21,25.29
8/26/1985,0.1,28.43,69.58,27.75
8/27/1985,4.5,27.54,79.62,24.22
8/28/1985,1.7,28.33,71.88,19.63
8/29/1985,0.3,28.39,67.29,20.84
8/30/1985,0,28.9,65.04,21.46
8/31/1985,0,28.65,69.17,20.47
9/1/1985,0.6,28.29,68.88,17.29
9/2/1985,4.2,27.02,79.71,13.34
9/3/1985,5.8,26.13,83.5,15.93
9/4/1985,9.3,25.55,86.46,21.49
9/5/1985,0,26.26,75.33,25.45
9/6/1985,0,27.22,70.33,26.65
9/7/1985,0,26.45,77.08,21.35
9/8/1985,4.2,26.26,82.46,17.55
9/9/1985,16.6,24.52,96.04,11.45
9/10/1985,8.1,25.57,91.62,7.35
9/11/1985,0,26.08,82.08,12.36
9/12/1985,1,26.12,84.12,4.41
9/13/1985,11.2,25.26,90.33,2.96
9/14/1985,9.9,25.26,90.33,2.43
9/15/1985,7.1,25.68,89.75,2.69
9/16/1985,3,26.08,86.08,4.19
9/17/1985,24.5,24.75,95.38,4.74
9/18/1985,15.3,25.38,91.96,3.34
9/19/1985,18.3,25.2,92.58,5.35
9/20/1985,0.6,25.68,85.38,3.95
9/21/1985,1.3,25.94,85.29,8.59
9/22/1985,0.9,26.28,81.96,6.39
9/23/1985,0,27.04,76.71,5.46
9/24/1985,0,26.57,74.25,12.55
9/25/1985,0,27.1,68.96,18.11
9/26/1985,6.2,25.97,86,14.49
9/27/1985,1.9,26.24,83.46,10.86
9/28/1985,1.1,25.81,85.12,4.83
9/29/1985,1.1,25.24,87.92,2.65
9/30/1985,0.4,26.33,82.67,3.53
10/1/1985,8.6,25.29,90.12,6.78
10/2/1985,1,26.3,83.92,6.39
10/3/1985,1.3,24.48,90.42,9.12
10/4/1985,0,26.18,75.92,15.2
10/5/1985,0,26.79,69.04,17.32
10/6/1985,0,26.79,70.92,17.08
10/7/1985,0,27.02,71.21,13.75
10/8/1985,3,26.73,80.71,9.6
10/9/1985,0,26.97,78,9.05
10/10/1985,0.6,26.2,82.04,9.94
10/11/1985,0.5,25.33,84.62,21.38
10/12/1985,0.3,25.05,84.83,12.3
10/13/1985,6.8,25.73,85.83,7.55
10/14/1985,4.3,25.18,88.17,6.17
10/15/1985,1.7,26.17,83.58,12.43
10/16/1985,1.1,26.29,81.71,8.72
10/17/1985,0.7,26.45,81.21,12.14
10/18/1985,0.1,26.3,75.79,10.99
10/19/1985,1.1,25.7,81.08,2.88
10/20/1985,0.3,26.19,76.21,8.38
10/21/1985,0.3,26.29,76.42,9.46
10/22/1985,0,25.6,79.12,13.11
10/23/1985,0,26.19,71.58,19.22
10/24/1985,0,26.74,70.88,17.45
10/25/1985,0,26.96,72.71,11.03
10/26/1985,0,26.02,77.04,13.93
10/27/1985,0,26.53,73.58,16.5
10/28/1985,0,26.5,74.12,14.14
10/29/1985,0,26.02,72.71,16.48
10/30/1985,0,26.02,73.75,21.07
10/31/1985,0,25.77,72.83,23.89
11/1/1985,0,25.74,69.21,25.64
11/2/1985,0,26.31,67,23.83
11/3/1985,0,26.96,67.38,22.76
11/4/1985,0,27.13,67.42,23.86
11/5/1985,0,26.34,70.42,22.17
11/6/1985,0,26.67,71,22.09
11/7/1985,0,25.84,77.42,19.63
11/8/1985,0,26.14,74.67,19.33
11/9/1985,0,26.75,72.04,18.84
11/10/1985,0,26.71,71.67,20.68
11/11/1985,0,26.22,74.38,20.21
11/12/1985,0,26.1,74.08,21.02
11/13/1985,0,26.39,71.88,22.47
11/14/1985,0,26.14,68.75,24.52
11/15/1985,0,26.59,65.62,23.85
11/16/1985,0,27.29,66.17,21.8
11/17/1985,0.5,26.01,75.29,22.65
11/18/1985,0,25.7,73.38,22.8
11/19/1985,0,25.93,72.83,22.7
11/20/1985,0,25.57,70.38,19.97
11/21/1985,0,26.31,69.46,15.25
11/22/1985,7.9,23.14,94.46,9.57
11/23/1985,16.7,23.38,92.92,9.51
11/24/1985,4.3,24.61,76.71,20.86
11/25/1985,6.1,23.28,95.08,17.07
11/26/1985,0,24.14,86.58,8.21
11/27/1985,0,25.98,73.92,14.37
11/28/1985,1.1,25.95,79.12,15.53
11/29/1985,0,26.48,70.04,23.62
11/30/1985,0,26.28,69.25,24.81
12/1/1985,5.6,25.46,74.04,24.9
12/2/1985,0,26.72,65.79,24.92
12/3/1985,0,26.09,71.71,23.66
12/4/1985,0,25.67,70.67,20.97
12/5/1985,0.1,25.89,73.71,18.91
12/6/1985,0,26.67,71.08,18.66
12/7/1985,0,25.8,73.08,18.91
12/8/1985,0,25.66,71.29,20.67
12/9/1985,0,25.34,71.42,20.94
12/10/1985,0,25.2,71.92,19.91
12/11/1985,0,25.72,70,23.08
12/12/1985,0,25.61,68.17,29.59
12/13/1985,0,24.59,69.25,27.84
12/14/1985,0,24.71,63.67,27.96
12/15/1985,0,23.94,57.29,32.81
12/16/1985,0,22.07,66.12,28.11
12/17/1985,0,23.42,60.46,27.86
12/18/1985,0,24.31,67.04,24.24
12/19/1985,0,25.33,62.29,24.3
12/20/1985,0,24.72,69.96,27.93
12/21/1985,3.4,23.16,77.33,32.02
12/22/1985,0.2,24.1,66.42,29.65
12/23/1985,0,23.24,57.58,33.05
12/24/1985,0,22.12,60.12,30.78
12/25/1985,0,23.19,63.92,28.37
12/26/1985,0,23.96,70.79,26.59
12/27/1985,0,23.44,71.08,26.7
12/28/1985,0,23.01,70.12,26.08
12/29/1985,0,23.7,65.67,21.16
12/30/1985,0,23.15,74.21,18.82
12/31/1985,0,25.63,68.96,20.21
1/1/1986,0,24.95,67.12,29.02
1/2/1986,0,23.27,65.12,31.18
1/3/1986,0,24.36,59.25,28.99
1/4/1986,0,24.19,64.67,32.96
1/5/1986,0,22.71,62.75,37.3
1/6/1986,0,22.73,61.79,32.61
1/7/1986,0,23.05,62.96,34.95
1/8/1986,0,22.82,64.58,34.69
1/9/1986,0,23.25,62.12,32.43
1/10/1986,0,22.92,63.5,33.9
1/11/1986,0,22.71,64.58,31.09
1/12/1986,0,23.41,62,28.16
1/13/1986,0,24.39,61.33,28.99
1/14/1986,0,24.91,67.12,27.04
1/15/1986,0,24.8,67.58,26.12
1/16/1986,0,24.65,67.29,24.78
1/17/1986,0,24.74,68.5,21.8
1/18/1986,0,23.5,69.67,20.12
1/19/1986,0,25.01,61.88,22.26
1/20/1986,0,25.08,61.75,25.47
1/21/1986,0,24.83,57.58,26.27
1/22/1986,0,25.12,62.33,21.95
1/23/1986,0,24.39,61.62,25.65
1/24/1986,0,24.72,61,27.51
1/25/1986,0,24.44,59.12,27.09
1/26/1986,0,25.17,51.83,31.23
1/27/1986,0,22.6,59.71,33.64
1/28/1986,0,23.14,57.38,28.19
1/29/1986,0,24.29,62.54,24.21
1/30/1986,0,25.59,69.38,18.32
1/31/1986,0,25.51,73.04,17
2/1/1986,0,26.08,66.04,18.22
2/2/1986,0,25.55,68,20.38
2/3/1986,0,25.07,75.42,17.44
2/4/1986,0,25.37,71.88,20.34
2/5/1986,0,25.33,67.33,18.87
2/6/1986,0,25.39,66.5,21.21
2/7/1986,0,23.69,68.54,26.07
2/8/1986,0,23.84,65.54,29.81
2/9/1986,0,22.96,67.17,28.88
2/10/1986,0,22.59,64.12,29.89
2/11/1986,0,22.81,64.33,28.14
2/12/1986,0,23.4,63.88,23.87
2/13/1986,0,24.33,70.17,18.96
2/14/1986,0,25.59,71.29,12.22
2/15/1986,0,25.58,76.46,5.75
2/16/1986,0,25.83,72.79,7.26
2/17/1986,0,25.17,68.92,6.96
2/18/1986,0,25.31,69.92,6.83
2/19/1986,0,26.06,65.17,8.19
2/20/1986,0,25.49,68.38,16.35
2/21/1986,0,25.08,65.62,25.56
2/22/1986,0,24.62,69,27.28
2/23/1986,0,23.88,70.12,24.18
2/24/1986,0,23.54,65.79,25.02
2/25/1986,0,23.38,69.92,26.55
2/26/1986,0,23.25,64.54,25.77
2/27/1986,0,23.8,64.29,26.29
2/28/1986,0,23.78,67.12,30.38
3/1/1986,0,23.82,63.88,32.41
3/2/1986,0,22.37,57.33,40.27
3/3/1986,0,21.39,52.54,39.91
3/4/1986,0,21.69,54.08,33.87
3/5/1986,0,23.54,55.33,31.21
3/6/1986,0,24.1,60.46,28.73
3/7/1986,0,24.84,62.71,29.07
3/8/1986,0,25.64,60.08,28.21
3/9/1986,0,25.93,63.17,26.54
3/10/1986,0,25.32,64.96,22.69
3/11/1986,0,26,63.88,17.65
3/12/1986,0,26.18,65.71,13.98
3/13/1986,0,26.55,66.29,13.29
3/14/1986,0,26.76,68.79,9.01
3/15/1986,0,27,70.38,5.69
3/16/1986,0,27.41,65.96,8.94
3/17/1986,0,27.5,64.38,7.31
3/18/1986,0,27.66,65.71,8.03
3/19/1986,0,27.36,60.33,9.64
3/20/1986,0,26.78,65.33,4.86
3/21/1986,0,26.97,67.21,6.74
3/22/1986,0,27.1,73.5,7.18
3/23/1986,0,26.12,72.38,14.82
3/24/1986,0,25.83,64.75,16.82
3/25/1986,0,25.92,62.21,16.87
3/26/1986,0,25.75,60.58,15.14
3/27/1986,0,26.46,68.04,10.96
3/28/1986,0,26.8,66.58,6.26
3/29/1986,0,27.63,69.29,5.6
3/30/1986,0,26.94,63.08,6.64
3/31/1986,0,26.94,59.12,6.78
4/1/1986,0,27.13,67.54,11.31
4/2/1986,0,26.99,58.96,10.04
4/3/1986,0,27.09,69.67,7.93
4/4/1986,0,26.82,66.25,14.64
4/5/1986,0,26.9,65.25,18.21
4/6/1986,0,26.83,56.96,21.51
4/7/1986,0,27.7,61.79,23.87
4/8/1986,0,28.16,64.25,19.85
4/9/1986,1.8,26.48,78.62,10.24
4/10/1986,0,27.27,75.21,4.92
4/11/1986,0,27.41,74.62,7.94
4/12/1986,0,26.82,65.88,19.26
4/13/1986,0,27.31,67.33,19.02
4/14/1986,0,27.39,68.62,17.03
4/15/1986,0,27.29,70.46,14.33
4/16/1986,0,26.64,67.67,17.66
4/17/1986,0,27.56,68.83,12.64
4/18/1986,0,27.55,72.33,8.08
4/19/1986,0,27.48,70.25,5.71
4/20/1986,0,27.88,69.75,7.9
4/21/1986,0,27.91,68.54,10.44
4/22/1986,0,28.7,66.79,11.45
4/23/1986,0,27.81,70.71,7.47
4/24/1986,0,27.5,66.92,10.04
4/25/1986,0,27.6,69.17,9.67
4/26/1986,0,27.27,67.5,13.02
4/27/1986,0,27.17,65,12.57
4/28/1986,0,27.26,65.46,11.69
4/29/1986,0,26.98,63.25,13.29
4/30/1986,0,27.12,63.88,16.14
5/1/1986,0,27.58,68.71,15.58
5/2/1986,0,28.55,65.29,12.85
5/3/1986,0,27.94,71.29,9.55
5/4/1986,0,27.97,70.75,9.36
5/5/1986,0,28.18,68.29,7.13
5/6/1986,0,28.93,68.5,5.53
5/7/1986,0,28,73.25,6.72
5/8/1986,0,28.64,69.21,6.67
5/9/1986,0,28.12,73.62,7.6
5/10/1986,0,28.55,71.54,12.58
5/11/1986,0,27.79,74.54,16.75
5/12/1986,0,27.94,69.5,17.63
5/13/1986,10.5,27.56,76.17,18.05
5/14/1986,0.1,29.1,64.92,21.77
5/15/1986,0,28.91,62.83,21.09
5/16/1986,0,29.7,59.75,18.81
5/17/1986,0,29.36,57.62,26.63
5/18/1986,10.3,26.22,78.67,28.3
5/19/1986,9.9,25.83,86.67,26.33
5/20/1986,0,26.81,74.71,24.68
5/21/1986,0,27.51,73,26.25
5/22/1986,0.1,28.11,70.42,23.38
5/23/1986,4.4,26.47,84.12,21.28
5/24/1986,14.9,24.64,94.21,18.88
5/25/1986,4.1,26.81,79.33,22.83
5/26/1986,11.6,25.27,90.88,21.71
5/27/1986,0,26.11,82.88,18.5
5/28/1986,0,28.23,69.88,21.21
5/29/1986,0,28.89,66.12,20.69
5/30/1986,0,29.23,66.25,22.57
5/31/1986,0,29.06,64.83,20.74
6/1/1986,0,28.34,69.38,18.86
6/2/1986,0,27.69,72.21,21.66
6/3/1986,0,28.26,68.96,24.16
6/4/1986,0,27.24,73.88,23.25
6/5/1986,0,27.63,73.42,21.11
6/6/1986,0,28.22,70.25,20.09
6/7/1986,0.1,28.02,72.79,17.64
6/8/1986,0,28.62,69.75,15.16
6/9/1986,0.1,28.76,71.54,14.45
6/10/1986,1.2,27.7,76.92,14.08
6/11/1986,0.1,29.02,69.5,11.76
6/12/1986,0,29.16,68.42,10.29
6/13/1986,0.4,27.82,74.21,9.37
6/14/1986,0.1,28.5,69.92,5.94
6/15/1986,0,28.53,71.04,6.87
6/16/1986,0,29.1,65.67,8.34
6/17/1986,0.2,29.48,70.92,15.02
6/18/1986,1.8,27.66,74.83,13.55
6/19/1986,15.6,26.89,83.75,13.39
6/20/1986,1,27.61,79.46,9.84
6/21/1986,16.2,25.91,92.96,9.81
6/22/1986,4.4,26.52,83.54,14.34
6/23/1986,1.2,26.94,81.33,19.84
6/24/1986,20.6,25.39,90.04,25.59
6/25/1986,9.3,26.41,81.17,19.44
6/26/1986,0.3,28.23,71.29,17.12
6/27/1986,2.8,26.2,83.17,16.45
6/28/1986,1,27,78.67,19.34
6/29/1986,0,27.85,72.96,18.7
6/30/1986,0.2,28.24,72.46,17.51
7/1/1986,0.1,29.09,67.83,17.97
7/2/1986,0,28.42,68.96,18.56
7/3/1986,0.4,27.88,70.12,23.76
7/4/1986,1.5,28.09,68.08,23.63
7/5/1986,3.8,26.72,79.33,20.11
7/6/1986,0.1,28.83,68.58,15.55
7/7/1986,0.4,28.4,71.83,16.51
7/8/1986,4.2,26.73,80,12.87
7/9/1986,0,28.39,70.71,21.51
7/10/1986,0.6,27.8,69.54,27.48
7/11/1986,26,25.41,93.42,26.74
7/12/1986,19.4,25.66,90.96,24.24
7/13/1986,0,26.58,76.67,16.8
7/14/1986,0.6,28.09,73.33,9.18
7/15/1986,0,27.05,74.71,13.47
7/16/1986,13,25.81,91.42,11.69
7/17/1986,6.1,26.23,81.58,19.44
7/18/1986,3.3,26.31,78.83,20.59
7/19/1986,0.4,24.58,88.71,20.71
7/20/1986,1.7,25.79,79.38,19.88
7/21/1986,7.4,25.32,86.25,12.55
7/22/1986,0,26.79,73.5,10.75
7/23/1986,6.1,24.83,90.25,9.69
7/24/1986,9.5,24.19,92.42,13.35
7/25/1986,4.7,24.57,89.46,12.93
7/26/1986,0,26.42,75.33,9.8
7/27/1986,0.1,26.97,73.38,8.4
7/28/1986,0.5,27.39,72.42,9.27
7/29/1986,0,27.55,69.46,10.36
7/30/1986,0.1,27.49,70.29,8.82
7/31/1986,1.2,27.79,72.5,8.25
8/1/1986,3.1,26.87,79.21,9.71
8/2/1986,1.3,26.76,78.04,13.72
8/3/1986,2.4,26.54,81.75,18.04
8/4/1986,10.1,26.02,87.88,13.17
8/5/1986,11.3,26.14,88.58,7.64
8/6/1986,7.9,25.68,92.08,8.11
8/7/1986,14.5,25.81,90.58,5.44
8/8/1986,11.4,25.95,91.92,4.9
8/9/1986,2.7,26.53,83.54,16.18
8/10/1986,3.3,27.03,78.92,20.07
8/11/1986,0,26.67,79.75,25.7
8/12/1986,9.3,25.31,92.21,21.54
8/13/1986,17,24.64,94.17,17.46
8/14/1986,22.3,24.19,96.17,11.07
8/15/1986,11.9,25.05,94.04,8.83
8/16/1986,5.7,24.59,93.21,15.81
8/17/1986,3.4,25.8,82.21,18.33
8/18/1986,0.1,24.76,89.75,9.01
8/19/1986,0.2,25.41,83.5,16.74
8/20/1986,0.1,24.17,89.33,19.28
8/21/1986,0,26.72,76.62,24.71
8/22/1986,0,26.57,76.42,28.75
8/23/1986,1.3,26.72,78.88,22.44
8/24/1986,0.1,27.18,75.83,19.48
8/25/1986,0,26.95,75.42,21.14
8/26/1986,0,26.55,79.38,22.86
8/27/1986,0,26.18,80.04,24.16
8/28/1986,4.8,25.49,87.5,23.48
8/29/1986,0,26.02,79.5,21.71
8/30/1986,0.2,27.14,73.83,17.8
8/31/1986,0.3,26.66,78.04,20.37
9/1/1986,0,27.38,73.79,20.15
9/2/1986,0,27.68,68.38,22.63
9/3/1986,0,27.18,72.25,23.65
9/4/1986,3.9,25.95,83.29,20.44
9/5/1986,0.1,26.75,76.33,21.36
9/6/1986,0,25.77,83.75,18.75
9/7/1986,9.7,25.04,94.08,8.98
9/8/1986,3.7,25.2,90.58,3.9
9/9/1986,0.9,25.75,84.25,4.91
9/10/1986,0.3,25.9,82.29,8.33
9/11/1986,0,26.47,75.96,8.36
9/12/1986,0.1,26.75,76.71,5.15
9/13/1986,1.9,26.27,77.46,2.65
9/14/1986,3.8,25.98,83.46,2.77
9/15/1986,1,26.32,78.83,2.82
9/16/1986,0,26.95,73.08,9.16
9/17/1986,0.3,26.71,81.17,4.01
9/18/1986,5.6,25.76,84.67,6.61
9/19/1986,3.5,26.05,82.79,9.14
9/20/1986,2.6,25.35,88.75,9.55
9/21/1986,0.5,25.93,80,3.29
9/22/1986,0,26.73,72.83,6.96
9/23/1986,0,26.64,75.04,6.37
9/24/1986,0.4,26.46,78.58,5.23
9/25/1986,0,26.7,76.62,4.2
9/26/1986,0.4,26.36,80.96,4.25
9/27/1986,0,27.38,73.5,6.45
9/28/1986,0,27.01,75,5.94
9/29/1986,0,26.92,77.62,4.09
9/30/1986,0,26.63,76.46,5.93
10/1/1986,0.1,26.04,81.83,9.17
10/2/1986,0,26.05,84.21,12.58
10/3/1986,0.6,26.08,82.54,14.31
10/4/1986,0.2,27.12,76.92,17.62
10/5/1986,0.4,26.12,81.83,18.56
10/6/1986,3.5,25.43,86.08,16.79
10/7/1986,0,26.38,77.88,14.64
10/8/1986,0.2,26.51,78.62,10.98
